Card name,Status,Members,Checklists
BIDWHDEV-4213,PROD INSTALL alatt,"['5d831835808145195c95f1a0', '526d0007f28467086c00386a', '5d83181837b3833746dce248']","[<Checklist 5d84c87a2793890e92189bcf>, <Checklist 5d84c87a2793890e92189bd9>, <Checklist 5d84c87a2793890e92189be1>, <Checklist 5d84c87a2793890e92189bf7>, <Checklist 5d89bb0c496f1337de84cd01>]"
BIDWHDEV-4214,PROD INSTALL alatt,"['5d831835808145195c95f1a0', '5d83181837b3833746dce248']","[<Checklist 5d832bb6d472dd1aa46f8e7b>, <Checklist 5d832bc25473c55c30450a64>, <Checklist 5d832bc8a54b12677d8bdc9c>, <Checklist 5d835cf06b9fbc30800e63fe>]"
BIDWHDEV-4128,PROD INSTALL alatt,"['5d83181837b3833746dce248', '5d831835808145195c95f1a0']","[<Checklist 5d8b5a6d5c47961ad09f4edd>, <Checklist 5d8b5a6d5c47961ad09f4ee5>, <Checklist 5d8b5a6d5c47961ad09f4ef7>, <Checklist 5d8b5a6d5c47961ad09f4f0f>, <Checklist 5d8b5a6d5c47961ad09f4f17>]"
BIDWHDEV-4031,PROD INSTALL alatt,"['5d83181837b3833746dce248', '5d831835808145195c95f1a0']","[<Checklist 5d8b594dd705664e919624d5>, <Checklist 5d8b594dd705664e919624df>, <Checklist 5d8b594dd705664e919624f1>, <Checklist 5d8b594dd705664e91962509>, <Checklist 5d8b594dd705664e91962513>]"
BIDWHDEV-4334,PROD INSTALL alatt,"['5d831835808145195c95f1a0', '526d0007f28467086c00386a', '5d83181837b3833746dce248']","[<Checklist 5d889ae8c636064eb653c565>, <Checklist 5d889ae8c636064eb653c56f>, <Checklist 5d889ae8c636064eb653c581>, <Checklist 5d889ae8c636064eb653c597>, <Checklist 5d91f7cb569ab3156acb9c3d>]"
BIDWHDEV-3568,PROD INSTALL alatt,['5d83181837b3833746dce248'],"[<Checklist 5d9c407399ad9628d0022a57>, <Checklist 5d9c407399ad9628d0022a61>, <Checklist 5d9c407399ad9628d0022a73>, <Checklist 5d9c407399ad9628d0022a8b>, <Checklist 5d9c8b643be3ed3e4d5a49f7>, <Checklist 5d9c407399ad9628d0022a95>]"
BIDWHDEV-4669 HOTFIX,Prod Test,"['5d83181837b3833746dce248', '5d831835808145195c95f1a0']","[<Checklist 5db9857caa65f0171a6c7ae5>, <Checklist 5db9857caa65f0171a6c7af1>, <Checklist 5db9857caa65f0171a6c7b03>, <Checklist 5db9857caa65f0171a6c7b1b>, <Checklist 5db9857caa65f0171a6c7b25>]"
BIDWHDEV-4668 HOTFIX,Prod Test,"['5d83181837b3833746dce248', '5d831835808145195c95f1a0']","[<Checklist 5db9860656e4493ab73de513>, <Checklist 5db9860656e4493ab73de519>, <Checklist 5db9860656e4493ab73de523>, <Checklist 5db9860656e4493ab73de52f>, <Checklist 5db9860656e4493ab73de537>]"
BIDWHDEV-4653 HOTFIX,Prod Test,"['5d83181837b3833746dce248', '5d831835808145195c95f1a0']","[<Checklist 5db2be48c8be190b07ac3683>, <Checklist 5db2be48c8be190b07ac368f>, <Checklist 5db2be48c8be190b07ac36a1>, <Checklist 5db2be48c8be190b07ac36b9>]"
BIDWHDEV-4528,Prod Test,"['5d831835808145195c95f1a0', '526d0007f28467086c00386a', '5d83181837b3833746dce248']","[<Checklist 5d96dfacf568e17d6640679e>, <Checklist 5d96dfacf568e17d664067a8>, <Checklist 5d96dfacf568e17d664067ba>, <Checklist 5d96dfacf568e17d664067d2>, <Checklist 5d96dfacf568e17d664067dc>]"
BIDWHDEV-4487,Prod Test,"['5d831835808145195c95f1a0', '5d83181837b3833746dce248']","[<Checklist 5d8aff969e61b82abb041feb>, <Checklist 5d8aff969e61b82abb041ff5>, <Checklist 5d8aff969e61b82abb042007>, <Checklist 5d8aff969e61b82abb04201d>, <Checklist 5d8aff969e61b82abb042027>]"
BIDWHDEV-4616 HOTFIX,Prod Test,"['5d83181837b3833746dce248', '5d831835808145195c95f1a0']","[<Checklist 5dad70f122f5246b49811f2b>, <Checklist 5dad70f122f5246b49811f37>, <Checklist 5dad70f122f5246b49811f49>, <Checklist 5dad70f122f5246b49811f61>, <Checklist 5dad70f122f5246b49811f6b>]"
BIDWHDEV-3812,Prod Test,"['5d831835808145195c95f1a0', '5d83181837b3833746dce248']","[<Checklist 5d944c9ea24044614b9980c9>, <Checklist 5d944c9ea24044614b9980d3>, <Checklist 5d944c9ea24044614b9980e5>, <Checklist 5d944c9ea24044614b9980fd>, <Checklist 5d944c9ea24044614b998107>]"
BIDWHDEV-4549,Prod Test,"['5d83181837b3833746dce248', '5d831835808145195c95f1a0']","[<Checklist 5d9d9a05c9a54d501141c774>, <Checklist 5d9d9a05c9a54d501141c77e>, <Checklist 5d9d9a05c9a54d501141c790>, <Checklist 5d9d9a05c9a54d501141c7a8>, <Checklist 5d9d9a05c9a54d501141c7b2>]"
BIDWHDEV-3355,Prod Test,['5d831835808145195c95f1a0'],"[<Checklist 5d846ad6a2716e570a2b61dc>, <Checklist 5d846ad6a2716e570a2b61e2>, <Checklist 5d846ad6a2716e570a2b61e6>, <Checklist 5d846ad6a2716e570a2b61ee>]"
BIDWHDEV-3335,Prod Test,['5d831835808145195c95f1a0'],"[<Checklist 5d846b76c7e234695a87c85b>, <Checklist 5d846b76c7e234695a87c861>, <Checklist 5d846b76c7e234695a87c865>, <Checklist 5d846b76c7e234695a87c86d>]"
BIDWHDEV-3297,Prod Test,['5d831835808145195c95f1a0'],"[<Checklist 5d846b8821944237b8b349ec>, <Checklist 5d846b8821944237b8b349f2>, <Checklist 5d846b8821944237b8b349f6>, <Checklist 5d846b8821944237b8b349fe>]"
BIDWHDEV-3296,Prod Test,['5d831835808145195c95f1a0'],"[<Checklist 5d846b93bf5ab037bfca9b3d>, <Checklist 5d846b93bf5ab037bfca9b43>, <Checklist 5d846b93bf5ab037bfca9b47>, <Checklist 5d846b93bf5ab037bfca9b4f>]"
BIDWHDEV-3208,Prod Test,"['5d83181837b3833746dce248', '5d831835808145195c95f1a0']","[<Checklist 5d8b51dbc947310f6fa21ce5>, <Checklist 5d8b51dbc947310f6fa21cef>, <Checklist 5d8b51dbc947310f6fa21d01>, <Checklist 5d8b51dbc947310f6fa21d19>, <Checklist 5d8b51dbc947310f6fa21d23>]"
BIDWHDEV-4054,Prod Test,"['5d831835808145195c95f1a0', '5d83181837b3833746dce248']","[<Checklist 5d84def02af544108f62ea55>, <Checklist 5d84def02af544108f62ea5f>, <Checklist 5d96dc991ec46472cf63ebc7>, <Checklist 5d84def02af544108f62ea7d>]"
BIDWHDEV-4307,Prod Test,"['5d831835808145195c95f1a0', '526d0007f28467086c00386a', '5d83181837b3833746dce248']","[<Checklist 5d84b25575791b1353d49437>, <Checklist 5d84b25575791b1353d49441>, <Checklist 5d84b25575791b1353d49449>, <Checklist 5d84b25575791b1353d4945f>]"
BIDWHDEV-4393,Prod Test,[],"[<Checklist 5d8b52e89729731ef3011865>, <Checklist 5d8b52e89729731ef301186f>, <Checklist 5d8b52e89729731ef3011881>, <Checklist 5d8b52e89729731ef3011899>, <Checklist 5d8b52e89729731ef30118a3>]"
BIDWHDEV-4221,Prod Test,"['5d831835808145195c95f1a0', '526d0007f28467086c00386a', '5d83181837b3833746dce248']","[<Checklist 5d8b50c01d318f5b63803082>, <Checklist 5d8b50c01d318f5b6380308c>, <Checklist 5d8b50c01d318f5b6380309e>, <Checklist 5d8b50c01d318f5b638030b6>, <Checklist 5d8b50c01d318f5b638030c0>]"
BIDWHDEV-4059,Prod Test,"['5d831835808145195c95f1a0', '526d0007f28467086c00386a', '5d83181837b3833746dce248']","[<Checklist 5d88a1d342b12a495e54dc8d>, <Checklist 5d88a1d342b12a495e54dc97>, <Checklist 5d88a1d342b12a495e54dca9>, <Checklist 5d88a1d342b12a495e54dcbf>, <Checklist 5d95ade3ed7ad21391b0087f>]"
BIDWHDEV-4053,Prod Test,"['5d831835808145195c95f1a0', '526d0007f28467086c00386a', '5d83181837b3833746dce248']","[<Checklist 5d889e89e8b1d659a535b2dd>, <Checklist 5d889e89e8b1d659a535b2e7>, <Checklist 5d889e89e8b1d659a535b2f9>, <Checklist 5d889e89e8b1d659a535b30f>, <Checklist 5d95ad34a1274b60de6d965e>]"
BIDWHDEV-3397,Prod Test,[],"[<Checklist 5db932f94a9ba572c21335f9>, <Checklist 5db932f94a9ba572c2133605>, <Checklist 5db932f94a9ba572c2133617>, <Checklist 5db932f94a9ba572c213362f>, <Checklist 5db932f94a9ba572c2133639>]"
BIDWHDEV-4129,Prod Test,"['5d83181837b3833746dce248', '5d831835808145195c95f1a0']","[<Checklist 5d8b59e419692508bdb73ec2>, <Checklist 5d8b59e419692508bdb73ec8>, <Checklist 5d8b59e419692508bdb73eda>, <Checklist 5d8b59e419692508bdb73ef2>, <Checklist 5d8b59e419692508bdb73efa>]"
BIDWHDEV-3957,Closed,"['5d83181837b3833746dce248', '526d0007f28467086c00386a', '5d831835808145195c95f1a0']","[<Checklist 5d833f80e84a066f83bb55dd>, <Checklist 5d89bd045b6b1d528c77b8cb>, <Checklist 5d8b14e5b3614b2f96cda7a9>]"
BIDWHDEV-4525 HOTFIX,Closed,"['5d831835808145195c95f1a0', '526d0007f28467086c00386a', '5d83181837b3833746dce248']","[<Checklist 5d972ea8f29b4e6aaa8db79f>, <Checklist 5d972ea8f29b4e6aaa8db7a9>, <Checklist 5d972ea8f29b4e6aaa8db7bb>, <Checklist 5d972ea8f29b4e6aaa8db7d3>, <Checklist 5d972ea8f29b4e6aaa8db7dd>]"
